date,unconditional_average_rain,conditional_average_rain,accumlated_rain,satellite_flag
2025-05-15 01:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-15 02:00,0.0000,-999,0.0000,11000000000001100000000000000000
2025-05-15 03:00,0.0000,-999,0.0000,11000000000001100000000000100000
2025-05-15 04:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-15 05:00,0.0009,0.0147,0.0147,11000000000001100000000000000000
2025-05-15 06:00,0.0019,0.0312,0.0312,11000000000000010000000000000000
2025-05-15 07:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-15 08:00,0.0013,0.0205,0.0205,11000000000000010000000000000000
2025-05-15 09:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-15 10:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-15 11:00,0.0000,-999,0.0000,11000000000000000010000000000000
2025-05-15 12:00,0.0613,0.1226,0.9805,11000000000000000000000000100000
2025-05-15 13:00,0.1350,0.2699,2.1595,11000000000000100000000000000000
2025-05-15 14:00,1.5411,1.7612,24.6570,11000000000000100000000000000000
2025-05-15 15:00,2.7709,2.7709,44.3346,11000000000001100000000000000000
2025-05-15 16:00,3.2789,3.2789,52.4619,11000000000000100000000000000000
2025-05-15 17:00,1.3273,1.3273,21.2362,11000000000001000000000000000000
2025-05-15 18:00,2.1581,2.1581,34.5303,11000000000001000000000000000000
2025-05-15 19:00,1.1241,1.1241,17.9858,11000000000000010000000000000000
2025-05-15 20:00,0.1891,0.5043,3.0261,11000000000000010000000000000000
2025-05-15 21:00,0.1677,0.1917,2.6837,11000000000000000000000000000000
2025-05-15 22:00,0.0474,0.0506,0.7583,11000000000000000000000000000000
2025-05-15 23:00,0.0249,0.0249,0.3985,11000000000000000010000000100000
2025-05-16 00:00,0.0036,0.0189,0.0568,11000000000000000000000000000000
2025-05-16 01:00,0.0000,-999,0.0000,11000000000000000000000000100000
2025-05-16 02:00,0.0000,-999,0.0000,11000000000001000000000000100000
2025-05-16 03:00,0.0000,-999,0.0000,11000000000001100000000000000000
2025-05-16 04:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-16 05:00,0.0006,0.0104,0.0104,11000000000000100000000000000000
2025-05-16 06:00,0.0075,0.0134,0.1206,11000000000000010000000000000000
2025-05-16 07:00,0.0209,0.0209,0.3337,11000000000000010000000000000000
2025-05-16 08:00,0.0323,0.0323,0.5164,11000000000000000000000000000000
2025-05-16 09:00,0.0063,0.0334,0.1002,11000000000000010000000000000000
2025-05-16 10:00,0.0000,-999,0.0000,11000000000000000010000000000000
2025-05-16 11:00,0.0000,-999,0.0000,11000000000000000010000000000000
2025-05-16 12:00,0.0000,-999,0.0000,11000000000000000000000000100000
2025-05-16 13:00,0.1531,1.2250,2.4500,11000000000000000000000000000000
2025-05-16 14:00,1.0354,1.2743,16.5665,11000000000000100000000000100000
2025-05-16 15:00,2.3771,2.3771,38.0341,11000000000000000000000000000000
2025-05-16 16:00,1.5004,1.5004,24.0059,11000000000001100000000000000000
2025-05-16 17:00,3.8169,3.8169,61.0702,11000000000001000000000000000000
2025-05-16 18:00,4.9290,4.9290,78.8637,11000000000001000000000000000000
2025-05-16 19:00,3.6734,3.6734,58.7737,11000000000000010000000000000000
2025-05-16 20:00,0.4910,0.4910,7.8559,11000000000000000000000000000000
2025-05-16 21:00,0.2441,0.2441,3.9063,11000000000000010000000000000000
2025-05-16 22:00,0.1184,0.1184,1.8939,11000000000000000000000000000000
2025-05-16 23:00,0.0282,0.0347,0.4511,11000000000000000010000000000000
2025-05-17 00:00,0.0132,0.0192,0.2108,11000000000000000000000000100000
2025-05-17 01:00,0.0000,-999,0.0000,11000000000000000000000000100000
2025-05-17 02:00,0.0000,-999,0.0000,11000000000001000000000000100000
2025-05-17 03:00,0.0000,-999,0.0000,11000000000001100000000000000000
2025-05-17 04:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-17 05:00,0.0104,0.0414,0.1658,11000000000000000000000000000000
2025-05-17 06:00,0.0113,0.0452,0.1809,11000000000000010000000000000000
2025-05-17 07:00,0.0112,0.0599,0.1797,11000000000000000000000000000000
2025-05-17 08:00,0.0023,0.0367,0.0367,11000000000000010000000000000000
2025-05-17 09:00,0.1882,0.6022,3.0111,11000000000000000000000000000000
2025-05-17 10:00,0.4504,1.2011,7.2064,11000000000000000010000000000000
2025-05-17 11:00,3.5347,3.5347,56.5555,11000000000000000000000000000000
2025-05-17 12:00,4.9112,4.9112,78.5792,11000000000000000000000000100000
2025-05-17 13:00,4.7797,4.7797,76.4749,11000000000000000000000000000000
2025-05-17 14:00,4.5722,4.5722,73.1555,11000000000000100000000000000000
2025-05-17 15:00,2.4101,2.4101,38.5611,11000000000001100000000000000000
2025-05-17 16:00,2.7772,2.7772,44.4360,11000000000000100000000000000000
2025-05-17 17:00,0.9423,1.1597,15.0761,11000000000001000000000000000000
2025-05-17 18:00,0.1363,0.3634,2.1802,11000000000000010000000000000000
2025-05-17 19:00,0.0494,0.2635,0.7904,11000000000000010000000000000000
2025-05-17 20:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-17 21:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-17 22:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-17 23:00,0.0000,-999,0.0000,11000000000000000010000000000000
2025-05-18 00:00,0.0129,0.1032,0.2063,11000000000000000000000000000000
2025-05-18 01:00,0.0660,0.1319,1.0555,11000000000001000000000000000000
2025-05-18 02:00,0.0191,0.0508,0.3049,11000000000000100000000000100000
2025-05-18 03:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-18 04:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-18 05:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-18 06:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-18 07:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-18 08:00,0.0007,0.0117,0.0117,11000000000000000000000000000000
2025-05-18 09:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-18 10:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-18 11:00,1.3180,4.2175,21.0873,11000000000000000000000000100000
2025-05-18 12:00,3.3387,4.1092,53.4199,11000000000000000000000000100000
2025-05-18 13:00,3.2284,3.2284,51.6549,11000000000000100000000000000000
2025-05-18 14:00,1.4029,1.6033,22.4461,11000000000001100000000000000000
2025-05-18 15:00,0.3985,0.5314,6.3767,11000000000001100000000000000000
2025-05-18 16:00,0.2310,0.4106,3.6955,11000000000001000000000000000000
2025-05-18 17:00,1.9939,2.1269,31.9029,11000000000000000000000000000000
2025-05-18 18:00,2.0778,2.0778,33.2453,11000000000000000000000000000000
2025-05-18 19:00,1.8504,2.4671,29.6057,11000000000000010000000000000000
2025-05-18 20:00,2.4524,3.5672,39.2388,11000000000000000000000000000000
2025-05-18 21:00,2.2030,2.5177,35.2482,11000000000000010000000000000000
2025-05-18 22:00,1.2974,1.2974,20.7579,11000000000000000000000000000000
2025-05-18 23:00,1.2613,1.2613,20.1805,11000000000000000000000000000000
2025-05-19 00:00,1.1909,1.3610,19.0539,11000000000001000000000000000000
2025-05-19 01:00,0.6974,1.1159,11.1592,11000000000000000000000000000000
2025-05-19 02:00,0.2277,0.7286,3.6428,11000000000001100000000000000000
2025-05-19 03:00,0.0505,0.8086,0.8086,11000000000000000000000000000000
2025-05-19 04:00,0.0000,-999,0.0000,11000000000001100000000000000000
2025-05-19 05:00,0.2438,0.3901,3.9009,11000000000000100000000000000000
2025-05-19 06:00,0.3565,0.7130,5.7043,11000000000000010000000000000000
2025-05-19 07:00,0.2421,0.4843,3.8744,11000000000000000000000000000000
2025-05-19 08:00,0.0267,0.1069,0.4276,11000000000000010000000000000000
2025-05-19 09:00,0.1432,0.1909,2.2911,11000000000000000000000000000000
2025-05-19 10:00,0.5025,0.5743,8.0405,11000000000000000000000000000000
2025-05-19 11:00,0.6077,0.6077,9.7240,11000000000000000000000000000000
2025-05-19 12:00,0.9793,1.0446,15.6688,11000000000000000000000000000000
2025-05-19 13:00,0.6301,1.2602,10.0817,11000000000000100000000000000000
2025-05-19 14:00,0.3348,1.0714,5.3569,11000000000001000000000000000000
2025-05-19 15:00,0.0205,0.0819,0.3275,11000000000001100000000000000000
2025-05-19 16:00,0.0948,0.3793,1.5173,11000000000000100000000000000000
2025-05-19 17:00,0.3982,1.0619,6.3715,11000000000001100000000000000000
2025-05-19 18:00,0.3420,0.7816,5.4712,11000000000000010000000000000000
2025-05-19 19:00,0.1392,0.3183,2.2278,11000000000000000000000000000000
2025-05-19 20:00,0.0057,0.0916,0.0916,11000000000000010000000000000000
2025-05-19 21:00,0.1469,0.1469,2.3506,11000000000000010000000000000000
2025-05-19 22:00,0.3182,0.3182,5.0918,11000000000000000000000000000000
2025-05-19 23:00,1.1235,1.1235,17.9753,11000000000000000000000000000000
2025-05-20 00:00,1.2449,1.2449,19.9182,11000000000000000010000000100000
2025-05-20 01:00,1.6343,1.6343,26.1486,11000000000001000000000000100000
2025-05-20 02:00,0.8219,0.9394,13.1512,11000000000000100000000000100000
2025-05-20 03:00,2.0268,2.0268,32.4286,11000000000001100000000000000000
2025-05-20 04:00,1.2458,1.2458,19.9329,11000000000000000000000000000000
2025-05-20 05:00,0.3739,0.3739,5.9827,11000000000000100000000000000000
2025-05-20 06:00,0.3415,0.3415,5.4643,11000000000000000000000000000000
2025-05-20 07:00,0.3487,0.3487,5.5787,11000000000000010000000000000000
2025-05-20 08:00,0.2182,0.2494,3.4919,11000000000000010010000000000000
2025-05-20 09:00,0.1166,0.1554,1.8650,11000000000000010000000000000000
2025-05-20 10:00,0.0787,0.1399,1.2594,11000000000000000000000000000000
2025-05-20 11:00,1.7918,2.8669,28.6685,11000000000000000010000000000000
2025-05-20 12:00,2.7387,3.6516,43.8187,11000000000000000000000000000000
2025-05-20 13:00,1.5026,4.0070,24.0418,11000000000000000000000000000000
2025-05-20 14:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-20 15:00,0.3135,2.5083,5.0165,11000000000001100000000000000000
2025-05-20 16:00,0.1033,1.6535,1.6535,11000000000001100000000000000000
2025-05-20 17:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-20 18:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-20 19:00,0.3438,1.8334,5.5001,11000000000000010000000000000000
2025-05-20 20:00,0.4116,1.0977,6.5862,11000000000000000000000000000000
2025-05-20 21:00,0.1424,0.2071,2.2779,11000000000000010000000000000000
2025-05-20 22:00,0.0000,-999,0.0000,11000000000000000010000000000000
2025-05-20 23:00,0.0000,-999,0.0000,11000000000000000000000000100000
2025-05-21 00:00,0.0000,-999,0.0000,11000000000001000010000000100000
2025-05-21 01:00,0.0000,-999,0.0000,11000000000001000000000000100000
2025-05-21 02:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-21 03:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-21 04:00,0.0014,0.0223,0.0223,11000000000000000000000000000000
2025-05-21 05:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-21 06:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-21 07:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-21 08:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-21 09:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-21 10:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-21 11:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-21 12:00,0.0000,-999,0.0000,11000000000000000000000000100000
2025-05-21 13:00,0.0000,-999,0.0000,11000000000000000000000000100000
2025-05-21 14:00,0.0000,-999,0.0000,11000000000001100000000000000000
2025-05-21 15:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-21 16:00,0.0000,-999,0.0000,11000000000001100000000000000000
2025-05-21 17:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-21 18:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-21 19:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-21 20:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-21 21:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-21 22:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-21 23:00,0.0000,-999,0.0000,11000000000000000010000000100000
2025-05-22 00:00,0.0000,-999,0.0000,11000000000001000010000000000000
2025-05-22 01:00,0.0000,-999,0.0000,11000000000001000000000000100000
2025-05-22 02:00,0.0000,-999,0.0000,11000000000001100000000000000000
2025-05-22 03:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-22 04:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-22 05:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-22 06:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-22 07:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-22 08:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-22 09:00,0.0000,-999,0.0000,11000000000000000010000000000000
2025-05-22 10:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-22 11:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-22 12:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-22 13:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-22 14:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-22 15:00,0.0000,-999,0.0000,11000000000001100000000000000000
2025-05-22 16:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-22 17:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-22 18:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-22 19:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-22 20:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-22 21:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-22 22:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-22 23:00,0.0000,-999,0.0000,11000000000001000010000000000000
2025-05-23 00:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-23 01:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-23 02:00,0.0000,-999,0.0000,11000000000001100000000000100000
2025-05-23 03:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-23 04:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-23 05:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-23 06:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-23 07:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-23 08:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-23 09:00,0.0000,-999,0.0000,11000000000000010010000000000000
2025-05-23 10:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-23 11:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-23 12:00,0.0000,-999,0.0000,11000000000000000000000000100000
2025-05-23 13:00,0.0000,-999,0.0000,11000000000001100000000000000000
2025-05-23 14:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-23 15:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-23 16:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-23 17:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-23 18:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-23 19:00,0.4653,1.2408,7.4450,11000000000000010000000000000000
2025-05-23 20:00,0.4535,1.4512,7.2560,11000000000000010000000000000000
2025-05-23 21:00,0.0312,0.2499,0.4997,11000000000000010010000000000000
2025-05-23 22:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-23 23:00,0.0000,-999,0.0000,11000000000000000010000000000000
2025-05-24 00:00,0.0000,-999,0.0000,11000000000001000000000000100000
2025-05-24 01:00,0.0000,-999,0.0000,11000000000000000000000000100000
2025-05-24 02:00,0.0101,0.0324,0.1621,11000000000001100000000000100000
2025-05-24 03:00,0.0204,0.0653,0.3267,11000000000000100000000000000000
2025-05-24 04:00,0.0041,0.0132,0.0659,11000000000000100000000000000000
2025-05-24 05:00,0.0474,0.0689,0.7577,11000000000000100000000000000000
2025-05-24 06:00,0.0503,0.0732,0.8053,11000000000000010000000000000000
2025-05-24 07:00,0.0415,0.0604,0.6643,11000000000000000000000000000000
2025-05-24 08:00,0.0634,0.1015,1.0146,11000000000000010000000000000000
2025-05-24 09:00,0.0359,0.0574,0.5738,11000000000000000010000000000000
2025-05-24 10:00,0.0000,-999,0.0000,11000000000000000010000000000000
2025-05-24 11:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-24 12:00,0.0000,-999,0.0000,11000000000000000000000000100000
2025-05-24 13:00,0.0000,-999,0.0000,11000000000001100000000000000000
2025-05-24 14:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-24 15:00,0.0000,-999,0.0000,11000000000001100000000000000000
2025-05-24 16:00,0.0055,0.0146,0.0874,11000000000000100000000000000000
2025-05-24 17:00,0.0286,0.0416,0.4579,11000000000000000000000000000000
2025-05-24 18:00,0.0431,0.0492,0.6893,11000000000000010000000000000000
2025-05-24 19:00,0.0817,0.0817,1.3067,11000000000000010000000000000000
2025-05-24 20:00,0.2298,0.2298,3.6771,11000000000000010000000000000000
2025-05-24 21:00,0.1025,0.1025,1.6394,11000000000000000000000000000000
2025-05-24 22:00,0.0701,0.0701,1.1218,11000000000000000000000000000000
2025-05-24 23:00,0.0476,0.1270,0.7617,11000000000001000010000000000000
2025-05-25 00:00,0.0320,0.0854,0.5121,11000000000000000000000000100000
2025-05-25 01:00,0.0153,0.1226,0.2453,11000000000001000000000000000000
2025-05-25 02:00,0.0077,0.0306,0.1226,11000000000000100000000000100000
2025-05-25 03:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-25 04:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-25 05:00,0.0013,0.0107,0.0214,11000000000000100000000000000000
2025-05-25 06:00,0.0023,0.0124,0.0371,11000000000000000000000000000000
2025-05-25 07:00,0.0138,0.0170,0.2205,11000000000000010000000000000000
2025-05-25 08:00,0.0657,0.0751,1.0513,11000000000000000000000000000000
2025-05-25 09:00,0.1081,0.1081,1.7296,11000000000000010000000000000000
2025-05-25 10:00,0.5361,0.5361,8.5782,11000000000000000010000000000000
2025-05-25 11:00,0.1508,0.1856,2.4125,11000000000000000000000000000000
2025-05-25 12:00,0.0566,0.0823,0.9054,11000000000000000000000000000000
2025-05-25 13:00,0.2963,0.3647,4.7414,11000000000001000000000000000000
